,Municipality,Province,Inhabitants,Total area,Land area,Inhabitants per square km,Average household income,Latitude,Longitude
125,Heerenveen,Friesland,50252.0,198.17,190.09,264.0,27900.0,52.9567361,5.93326787512682
126,Heerhugowaard,Noord-Holland,56749.0,39.99,38.21,1462.0,29300.0,52.6780162,4.85168859396379
127,Heerlen,Limburg,86826.0,45.53,44.94,1931.0,24800.0,50.8876735,5.9773285
128,Heeze-Leende,Noord-Brabant,15965.0,105.04,104.02,153.0,33800.0,51.35863595,5.57797730092697
129,Heiloo,Noord-Holland,23459.0,19.01,18.7,1235.0,33600.0,52.60192475,4.70503175175436
130,Den Helder,Noord-Holland,55600.0,178.8,45.25,1232.0,26400.0,52.9529894,4.8267591994488
131,Hellendoorn,Overijssel,35812.0,138.99,137.91,260.0,29000.0,52.41702665,6.45606138485585
132,Hellevoetsluis,Zuid-Holland,40041.0,61.2,41.1,973.0,30400.0,51.8433469,4.12130277209192
133,Helmond,Noord-Brabant,91535.0,54.75,53.18,1709.0,27200.0,51.4790956,5.6557686
134,Hendrik-Ido-Ambacht,Zuid-Holland,30962.0,11.9,10.61,2891.0,31700.0,51.84664995,4.63428041666292
135,Hengelo,Overijssel,80660.0,61.83,60.84,1325.0,27100.0,52.2658726,6.7924049
136,'s-Hertogenbosch,Noord-Brabant,154231.0,118.07,110.25,1392.0,30100.0,51.7099698,5.29191613945104
137,Heumen,Gelderland,16483.0,41.54,39.76,414.0,32900.0,51.77125035,5.83116690002907
138,Heusden,Noord-Brabant,44107.0,81.22,78.88,554.0,30500.0,51.7335641,5.1382012
139,Hillegom,Zuid-Holland,21963.0,13.47,12.87,1694.0,30600.0,52.29482605,4.57297125640167
140,Hilvarenbeek,Noord-Brabant,15330.0,96.51,94.85,162.0,32400.0,51.4862924,5.1379984
141,Hilversum,Noord-Holland,90198.0,46.35,45.61,1963.0,31600.0,52.23158695,5.17349360239234
142,Hoeksche Waard,Zuid-Holland,86642.0,,,,,51.76453615,4.43343164856602
143,Hof van Twente,Overijssel,34946.0,215.41,212.56,164.0,30700.0,52.2359271,6.56686374252827
144,Het Hogeland,Groningen (provincie),49434.0,,,,,53.41292275,6.50572993763598
145,Hollands Kroon,Noord-Holland,47802.0,662.2,357.34,133.0,29200.0,52.8759468,4.96550471204737
146,Hoogeveen,Drenthe,55678.0,129.25,127.54,437.0,26400.0,52.7202393,6.4759313
147,Hoorn,Noord-Holland,73037.0,53.46,20.38,3573.0,28600.0,52.62254545,5.06772658814782
148,Horst aan de Maas,Limburg,42293.0,191.92,188.73,224.0,29900.0,51.4515953,6.03089889322314
149,Houten,Utrecht (provincie),49902.0,58.99,54.94,902.0,34100.0,52.03061555,5.16121663942668
150,Huizen,Noord-Holland,41280.0,23.32,15.81,2617.0,32600.0,52.29648445,5.24058204069026
151,Hulst,Zeeland,27523.0,251.82,201.71,136.0,28900.0,51.291008,4.03741773697298
152,IJsselstein,Utrecht (provincie),34162.0,21.68,21.07,1628.0,32900.0,52.02620525,5.02868592322906
153,Kaag en Braassem,Zuid-Holland,26861.0,72.24,63.24,421.0,32700.000000000004,52.19304625,4.62163669903484
154,Kampen,Overijssel,53787.0,161.79,142.18,375.0,27200.0,52.5559484,5.9033303
156,Katwijk,Zuid-Holland,65312.0,31.15,24.75,2625.0,29700.0,52.19660355,4.39680477612367
157,Kerkrade,Limburg,45643.0,22.15,21.91,2092.0,24700.0,50.87205345,6.05930845735641
158,Koggenland,Noord-Holland,22736.0,84.08,80.32,282.0,31200.0,52.6475784,4.95232646863131
159,Krimpen aan den IJssel,Zuid-Holland,29353.0,8.95,7.69,3812.0,30400.0,51.9166979,4.60836987256427
160,Krimpenerwaard,Zuid-Holland,56043.0,161.31,148.4,375.0,31100.0,51.95574195,4.75784699750764
161,Laarbeek,Noord-Brabant,22334.0,56.17,55.35,400.0,30200.0,51.53228435,5.61265248893554
162,Landerd,Noord-Brabant,15523.0,70.71,70.35,218.0,31800.0,51.70925615,5.65085744234553
163,Landgraaf,Limburg,37596.0,24.67,24.58,1530.0,26800.0,50.9080845,6.0264604
164,Landsmeer,Noord-Holland,11498.0,26.5,22.53,508.0,34800.0,52.44966555,4.93020295468758
165,Langedijk,Noord-Holland,27986.0,27.03,23.88,1165.0,31500.0,52.6899114,4.7787321580756
166,Lansingerland,Zuid-Holland,61617.0,56.37,53.41,1145.0,35400.0,52.01101685,4.50764549523346
167,Laren,Noord-Holland,11198.0,12.41,12.41,898.0,54300.0,52.24253135,5.21624403043807
168,Leeuwarden,Friesland,123114.0,255.62,238.38,514.0,25900.0,53.19968475,5.80069089560234
169,Leiden,Zuid-Holland,124797.0,23.27,21.91,5674.0,29500.0,52.1518157,4.48110886662043
170,Leiderdorp,Zuid-Holland,27122.0,12.28,11.58,2350.0,32000.0,52.15705765,4.54337864705976
