,Province,Inhabitants,Land area,Inhabitants per square km,Average household income,Latitude,Longitude,Number of cinemas,Number of cinemas per inhabitant,Number of cinemas per square km,Number of cinemas per inhabitant times square km,Number of inhabitants per cinema,Number of potential customers for a new cinema,Label,Mean number of cinemas per inhabitant,Mean number of cinemas per square km,Mean number of cinemas per inhabitant times square km,Std number of cinemas per inhabitant,Std number of cinemas per square km,Std number of cinemas per inhabitant times square km
Meppel,Drenthe,33573,55.53,602.0,27800.0,52.71174435,6.197307325163719,0.8,2.3828671849402795e-05,0.014406627048442283,0.0013232061477973373,41966.25,18651,0,1.1382810388708286e-05,0.0037663469914448566,0.002251506319830709,9.507703010641844e-06,0.005431216973948226,0.0020741386639016608
Middelburg,Zeeland,48548,48.42,998.0,28600.0,51.50529485,3.61007100494229,1.3,2.6777622147153332e-05,0.026848409748038,0.0012965724643651643,37344.61538461538,21107,4,3.39586659765619e-05,0.01705138471271403,0.002350964697774102,2.7087480259710103e-05,0.01809930930053315,0.002074040538459369
Midden-Delfland,Zuid-Holland,19401,47.19,410.0,35500.0,51.97058165,4.32298095130087,3.4,0.00017524869852069482,0.07204916295825387,0.008269986083191587,5706.176470588235,4409,3,0.0002630518942516105,0.16837823415237024,0.006811689234400736,6.809743530881317e-05,0.07247212850785036,0.0027467097958134594
Mill en Sint Hubert,Noord-Brabant,10889,52.23,207.0,29800.0,51.67911945,5.78699327214527,0.6,5.510147855634126e-05,0.011487650775416428,0.002877950224997704,18148.333333333336,6805,2,2.150591976542731e-05,0.009049930577187048,0.0018403203289503968,1.721622391496517e-05,0.00888637718596235,0.0015214627270522035
Moerdijk,Noord-Brabant,36963,159.15,232.0,30000.0,51.7033761,4.6259107,0.3,8.116224332440548e-06,0.001885014137606032,0.0012916971025079133,123210.0,28433,4,3.39586659765619e-05,0.01705138471271403,0.002350964697774102,2.7087480259710103e-05,0.01809930930053315,0.002074040538459369
Montferland,Gelderland,36028,105.7,337.0,28300.0,51.92400575,6.205514601615221,1.2,3.330742755634506e-05,0.011352885525070956,0.003520595092705673,30023.333333333336,16376,2,2.150591976542731e-05,0.009049930577187048,0.0018403203289503968,1.721622391496517e-05,0.00888637718596235,0.0015214627270522035
Montfoort,Utrecht (provincie),13996,37.57,369.0,33200.0,52.0387833,4.9560876846350705,1.3,9.288368105172906e-05,0.03460207612456748,0.003489639897113461,10766.153846153846,6085,4,3.39586659765619e-05,0.01705138471271403,0.002350964697774102,2.7087480259710103e-05,0.01809930930053315,0.002074040538459369
Mook en Middelaar,Limburg,7808,17.38,447.0,34300.0,51.74830635,5.90640637336831,1.3,0.00016649590163934428,0.07479861910241657,0.0028936987704918033,6006.153846153846,3394,7,0.00010977323523697737,0.07603103977158712,0.004730246323375737,5.9698739733946024e-05,0.03789049401910738,0.0030897049645269518
Neder-Betuwe,Gelderland,24039,59.98,394.0,29000.0,51.92150995,5.616123265710501,0.3,1.2479720454261825e-05,0.00500166722240747,0.0007485336328466242,80130.0,18491,2,2.150591976542731e-05,0.009049930577187048,0.0018403203289503968,1.721622391496517e-05,0.00888637718596235,0.0015214627270522035
Nederweert,Limburg,17005,99.98,170.0,29600.0,51.28564179999999,5.749603700000001,0.4,2.3522493384298738e-05,0.004000800160032006,0.002351778888562188,42512.5,12146,2,2.150591976542731e-05,0.009049930577187048,0.0018403203289503968,1.721622391496517e-05,0.00888637718596235,0.0015214627270522035
Nieuwegein,Utrecht (provincie),63055,23.51,2656.0,29200.0,52.0298704,5.09293340872922,5.0,7.929585282689715e-05,0.21267545725223308,0.001864245499960352,12611.0,10509,6,0.00011342668916943451,0.317186548625726,0.0014743329325001273,3.96718930066559e-05,0.1181329667066823,0.0005648140998616572
Nieuwkoop,Zuid-Holland,28637,78.05,362.0,33400.0,52.1405891,4.7866964979,1.3,4.5395816600900935e-05,0.016655989750160156,0.003543143485700318,22028.46153846154,12450,4,3.39586659765619e-05,0.01705138471271403,0.002350964697774102,2.7087480259710103e-05,0.01809930930053315,0.002074040538459369
Nijkerk,Gelderland,42947,69.34,610.0,31500.0,52.2220116,5.4823124000000005,1.4,3.259831885812746e-05,0.02019036631093164,0.002260367429622558,30676.428571428572,17894,2,2.150591976542731e-05,0.009049930577187048,0.0018403203289503968,1.721622391496517e-05,0.00888637718596235,0.0015214627270522035
Nijmegen,Gelderland,176707,53.06,3316.0,27100.0,51.84257485,5.8389606287482305,4.3,2.433406712807076e-05,0.0810403316999623,0.0012911656018154344,41094.6511627907,33340,7,0.00010977323523697737,0.07603103977158712,0.004730246323375737,5.9698739733946024e-05,0.03789049401910738,0.0030897049645269518
Nissewaard,Zuid-Holland,84797,73.58,1150.0,28800.0,51.82787345,4.3052843059240296,0.9,1.0613583027701452e-05,0.012231584669747214,0.0007809474391782728,94218.88888888889,44630,4,3.39586659765619e-05,0.01705138471271403,0.002350964697774102,2.7087480259710103e-05,0.01809930930053315,0.002074040538459369
Noord-Beveland,Zeeland,7309,85.96,85.0,29100.0,51.56520675,3.80090957337831,0.4,5.4727048843891096e-05,0.004653327128897162,0.004704337118620878,18272.5,5220,4,3.39586659765619e-05,0.01705138471271403,0.002350964697774102,2.7087480259710103e-05,0.01809930930053315,0.002074040538459369
Noordenveld,Drenthe,31270,199.41,162.0,29600.0,53.09537460000001,6.42084429673467,0.3,9.593859929645027e-06,0.0015044380923724988,0.0019131116085705148,104233.33333333334,24053,0,1.1382810388708286e-05,0.0037663469914448566,0.002251506319830709,9.507703010641844e-06,0.005431216973948226,0.0020741386639016608
Noordoostpolder,Flevoland,46863,459.81,101.0,28200.0,52.72644150000001,5.70360560454972,0.5,1.0669398032563002e-05,0.0010874056675583394,0.004905895909352794,93726.0,31242,0,1.1382810388708286e-05,0.0037663469914448566,0.002251506319830709,9.507703010641844e-06,0.005431216973948226,0.0020741386639016608
Noordwijk,Zuid-Holland,42861,35.78,728.0,34800.0,52.2698999,4.452685881751611,0.5,1.1665616761158163e-05,0.01397428731134712,0.00041739576771423906,85722.0,28574,4,3.39586659765619e-05,0.01705138471271403,0.002350964697774102,2.7087480259710103e-05,0.01809930930053315,0.002074040538459369
Nuenen. Gerwen en Nederwetten,Noord-Brabant,23198,33.71,683.0,34400.0,51.48603,5.54400698882424,5.0,0.0002155358220536253,0.14832393948383268,0.007265712561427709,4639.6,3866,3,0.0002630518942516105,0.16837823415237024,0.006811689234400736,6.809743530881317e-05,0.07247212850785036,0.0027467097958134594
Nunspeet,Gelderland,27485,128.74,211.0,29600.0,52.37852,5.78078,0.2,7.2766963798435515e-06,0.0015535187199005747,0.0009368018919410589,137425.0,22904,2,2.150591976542731e-05,0.009049930577187048,0.0018403203289503968,1.721622391496517e-05,0.00888637718596235,0.0015214627270522035
Oegstgeest,Zuid-Holland,24432,7.31,3269.0,39100.0,52.1833669,4.4721294339186395,2.0,8.185985592665357e-05,0.27359781121751026,0.0005983955468238376,12216.0,8144,6,0.00011342668916943451,0.317186548625726,0.0014743329325001273,3.96718930066559e-05,0.1181329667066823,0.0005648140998616572
Oirschot,Noord-Brabant,18627,101.78,182.0,32700.000000000004,51.5032385,5.3155486,0.5,2.684275514038761e-05,0.0049125564943996855,0.002732055618188651,37254.0,12418,2,2.150591976542731e-05,0.009049930577187048,0.0018403203289503968,1.721622391496517e-05,0.00888637718596235,0.0015214627270522035
Oisterwijk,Noord-Brabant,26128,63.84,409.0,34300.0,51.577874200000004,5.193810099999999,3.7,0.00014161053276178813,0.05795739348370927,0.009040416411512554,7061.621621621622,5559,7,0.00010977323523697737,0.07603103977158712,0.004730246323375737,5.9698739733946024e-05,0.03789049401910738,0.0030897049645269518
Oldambt,Groningen (provincie),38121,226.66,168.0,25000.0,53.22234079999999,7.06898239206217,0.1,2.623226043388159e-06,0.0004411894467484338,0.0005945804149943601,381210.0,34655,0,1.1382810388708286e-05,0.0037663469914448566,0.002251506319830709,9.507703010641844e-06,0.005431216973948226,0.0020741386639016608
Oldebroek,Gelderland,23594,97.65,241.0,27800.0,52.4456068,5.899031900000001,0.2,8.47673137238281e-06,0.002048131080389145,0.0008277528185131815,117970.0,19661,2,2.150591976542731e-05,0.009049930577187048,0.0018403203289503968,1.721622391496517e-05,0.00888637718596235,0.0015214627270522035
Oldenzaal,Overijssel,31855,21.55,1481.0,28100.0,52.30853685,6.914603743122241,2.7,8.475906451106577e-05,0.12529002320185614,0.0018265578402134673,11798.148148148148,8609,7,0.00010977323523697737,0.07603103977158712,0.004730246323375737,5.9698739733946024e-05,0.03789049401910738,0.0030897049645269518
Oost Gelre,Gelderland,29700,109.93,270.0,29600.0,52.015303100000004,6.56101032746153,0.1,3.367003367003367e-06,0.0009096697898662785,0.0003701346801346802,297000.0,26999,2,2.150591976542731e-05,0.009049930577187048,0.0018403203289503968,1.721622391496517e-05,0.00888637718596235,0.0015214627270522035
Oosterhout,Noord-Brabant,55610,71.47,772.0,29700.0,51.64447245,4.85136556866659,4.1,7.372774680812803e-05,0.05736672729816706,0.00526932206437691,13563.414634146342,10903,7,0.00010977323523697737,0.07603103977158712,0.004730246323375737,5.9698739733946024e-05,0.03789049401910738,0.0030897049645269518
Ooststellingwerf,Friesland,25498,223.42,114.0,27000.0,52.99085895,6.304963752820769,0.1,3.921876225586321e-06,0.00044758750335690634,0.0008762255863204957,254980.0,23179,0,1.1382810388708286e-05,0.0037663469914448566,0.002251506319830709,9.507703010641844e-06,0.005431216973948226,0.0020741386639016608
Oostzaan,Noord-Holland,9755,11.53,845.0,32600.0,52.45218065,4.868548732505019,3.2,0.00032803690415171707,0.27753686036426717,0.0037822655048692978,3048.4375,2322,3,0.0002630518942516105,0.16837823415237024,0.006811689234400736,6.809743530881317e-05,0.07247212850785036,0.0027467097958134594
Opmeer,Noord-Holland,11779,41.5,278.0,30400.0,52.70438175,4.92856803713141,1.0,8.489685032685287e-05,0.024096385542168676,0.003523219288564394,11779.0,5889,4,3.39586659765619e-05,0.01705138471271403,0.002350964697774102,2.7087480259710103e-05,0.01809930930053315,0.002074040538459369
Opsterland,Friesland,29715,224.4,133.0,28500.0,53.04680105,6.09513572382903,0.9,3.028773346794548e-05,0.004010695187165776,0.0067965673902069665,33016.666666666664,15639,0,1.1382810388708286e-05,0.0037663469914448566,0.002251506319830709,9.507703010641844e-06,0.005431216973948226,0.0020741386639016608
Oss,Noord-Brabant,91437,163.16,557.0,29100.0,51.7649771,5.51138220829049,0.2,2.1872983584325822e-06,0.001225790634959549,0.0003568796001618601,457185.0,76197,2,2.150591976542731e-05,0.009049930577187048,0.0018403203289503968,1.721622391496517e-05,0.00888637718596235,0.0015214627270522035
Oude IJsselstreek,Gelderland,39462,136.15,290.0,27500.0,51.90269995,6.391753305385441,0.2,5.068166844052506e-06,0.0014689680499449136,0.0006900309158177488,197310.0,32885,2,2.150591976542731e-05,0.009049930577187048,0.0018403203289503968,1.721622391496517e-05,0.00888637718596235,0.0015214627270522035
Ouder-Amstel,Noord-Holland,13915,24.08,561.0,36400.0,52.2946678,4.91646890749465,3.5,0.0002515271289974847,0.14534883720930233,0.006056773266259432,3975.714285714286,3092,3,0.0002630518942516105,0.16837823415237024,0.006811689234400736,6.809743530881317e-05,0.07247212850785036,0.0027467097958134594
Oudewater,Utrecht (provincie),10199,38.9,262.0,33500.0,52.02015625,4.89655977520417,0.6,5.882929698990097e-05,0.015424164524421594,0.0022884596529071477,16998.333333333336,6374,4,3.39586659765619e-05,0.01705138471271403,0.002350964697774102,2.7087480259710103e-05,0.01809930930053315,0.002074040538459369
Overbetuwe,Gelderland,47532,109.19,435.0,30500.0,51.92196125,5.786081549088321,3.0,6.311537490532694e-05,0.027475043502152213,0.006891567785912648,15844.0,11883,7,0.00010977323523697737,0.07603103977158712,0.004730246323375737,5.9698739733946024e-05,0.03789049401910738,0.0030897049645269518
Papendrecht,Zuid-Holland,32293,9.41,3427.0,30300.0,51.83482915,4.7047943772019405,1.2,3.7159755984269035e-05,0.12752391073326247,0.0003496733038119716,26910.833333333336,14678,1,3.0440756654428055e-05,0.07143909940827131,0.0006882066354724089,2.041897661087393e-05,0.043632581678239454,0.0003806281459146849
Peel en Maas,Limburg,43311,159.37,272.0,29900.0,51.33064175,5.9793637057733395,0.3,6.926646810279144e-06,0.001882411997239129,0.0011038997021541872,144370.0,33316,2,2.150591976542731e-05,0.009049930577187048,0.0018403203289503968,1.721622391496517e-05,0.00888637718596235,0.0015214627270522035
Pekela,Groningen (provincie),12207,49.04,250.0,24500.0,53.06707829999999,6.96598796002487,0.4,3.276808388629475e-05,0.008156606851549756,0.0016069468337838945,30517.5,8719,0,1.1382810388708286e-05,0.0037663469914448566,0.002251506319830709,9.507703010641844e-06,0.005431216973948226,0.0020741386639016608
Pijnacker-Nootdorp,Zuid-Holland,54321,37.08,1446.0,34300.0,52.011135700000004,4.42684813807231,0.7,1.2886360707645293e-05,0.018878101402373247,0.00047782625503948746,77601.42857142858,31953,4,3.39586659765619e-05,0.01705138471271403,0.002350964697774102,2.7087480259710103e-05,0.01809930930053315,0.002074040538459369
Purmerend,Noord-Holland,80147,23.15,3454.0,28600.0,52.4997208,4.96442003688997,0.9,1.122936603990168e-05,0.0388768898488121,0.0002599598238237239,89052.22222222222,42182,1,3.0440756654428055e-05,0.07143909940827131,0.0006882066354724089,2.041897661087393e-05,0.043632581678239454,0.0003806281459146849
Putten,Gelderland,24200,85.22,285.0,31200.0,52.2608751,5.6100469,0.4,1.652892561983471e-05,0.004693733865289838,0.0014085950413223142,60500.0,17285,2,2.150591976542731e-05,0.009049930577187048,0.0018403203289503968,1.721622391496517e-05,0.00888637718596235,0.0015214627270522035
Renkum,Gelderland,31304,45.95,682.0,31900.0,51.9751739,5.7334804,2.2,7.027855865065168e-05,0.04787812840043525,0.003229299769997445,14229.090909090908,9782,7,0.00010977323523697737,0.07603103977158712,0.004730246323375737,5.9698739733946024e-05,0.03789049401910738,0.0030897049645269518
Rheden,Gelderland,43686,81.74,532.0,28600.0,52.004383600000004,6.030280599999999,2.7,6.180469715698394e-05,0.033031563494005385,0.005051915945611866,16179.999999999998,11807,7,0.00010977323523697737,0.07603103977158712,0.004730246323375737,5.9698739733946024e-05,0.03789049401910738,0.0030897049645269518
Rhenen,Utrecht (provincie),20012,42.08,471.0,30300.0,51.980847600000004,5.574562366830991,2.0,9.994003597841295e-05,0.047528517110266164,0.004205476713971617,10006.0,6670,7,0.00010977323523697737,0.07603103977158712,0.004730246323375737,5.9698739733946024e-05,0.03789049401910738,0.0030897049645269518
Ridderkerk,Zuid-Holland,46255,23.72,1931.0,28800.0,51.87099129999999,4.5926478974853495,2.0,4.323856880337261e-05,0.08431703204047218,0.0010256188520159982,23127.5,15418,1,3.0440756654428055e-05,0.07143909940827131,0.0006882066354724089,2.041897661087393e-05,0.043632581678239454,0.0003806281459146849
Rijssen-Holten,Overijssel,38296,94.13,405.0,29300.0,52.28432485,6.440777380657179,0.4,1.0444955086693129e-05,0.004249442260703283,0.0009831836223104242,95740.0,27354,2,2.150591976542731e-05,0.009049930577187048,0.0018403203289503968,1.721622391496517e-05,0.00888637718596235,0.0015214627270522035
Rijswijk,Zuid-Holland,53486,13.96,3740.0,29200.0,52.03739335,4.32250283752741,5.0,9.34824066110758e-05,0.3581661891117478,0.0013050143962906181,10697.2,8914,6,0.00011342668916943451,0.317186548625726,0.0014743329325001273,3.96718930066559e-05,0.1181329667066823,0.0005648140998616572
Roerdalen,Limburg,20616,88.21,235.0,29000.0,51.145467700000005,6.03439237329791,0.7,3.3954210322079936e-05,0.007935608207686204,0.002995100892510671,29451.428571428572,12127,2,2.150591976542731e-05,0.009049930577187048,0.0018403203289503968,1.721622391496517e-05,0.00888637718596235,0.0015214627270522035
Roermond,Limburg,58194,60.81,950.0,27200.0,51.1927811,6.00395278289544,0.7,1.2028731484345464e-05,0.011511264594639038,0.0007314671615630477,83134.28571428572,34231,2,2.150591976542731e-05,0.009049930577187048,0.0018403203289503968,1.721622391496517e-05,0.00888637718596235,0.0015214627270522035
Roosendaal,Noord-Brabant,77072,106.5,723.0,28300.0,51.530458700000004,4.46449384552466,0.5,6.487440315549097e-06,0.004694835680751174,0.0006909123936059789,154144.0,51381,4,3.39586659765619e-05,0.01705138471271403,0.002350964697774102,2.7087480259710103e-05,0.01809930930053315,0.002074040538459369
Rotterdam,Zuid-Holland,644527,217.57,2936.0,26200.0,51.9228934,4.463178599999999,1.8,2.7927456879230815e-06,0.008273199430068484,0.0006076176793214248,358070.55555555556,230188,5,7.839117564691203e-06,0.03719749425023043,0.0008868277607354155,5.007061033517467e-06,0.024206055537566294,0.0003112290722426245
Rucphen,Noord-Brabant,22585,64.41,348.0,28500.0,51.532842200000005,4.5597188,1.0,4.4277175116227586e-05,0.01552553951249806,0.0028518928492362186,22585.0,11292,4,3.39586659765619e-05,0.01705138471271403,0.002350964697774102,2.7087480259710103e-05,0.01809930930053315,0.002074040538459369
Schagen,Noord-Holland,46563,168.25,276.0,30000.0,51.222716,6.2545389,0.1,2.1476279449348196e-06,0.0005943536404160476,0.0003613384017352834,465630.0,42330,2,2.150591976542731e-05,0.009049930577187048,0.0018403203289503968,1.721622391496517e-05,0.00888637718596235,0.0015214627270522035
Scherpenzeel,Gelderland,9874,13.79,707.0,30200.0,52.09036885,5.50720244576025,0.5,5.0638039295118495e-05,0.03625815808556926,0.000698298561879684,19748.0,6582,2,2.150591976542731e-05,0.009049930577187048,0.0018403203289503968,1.721622391496517e-05,0.00888637718596235,0.0015214627270522035
Schiedam,Zuid-Holland,78094,17.82,4371.0,26400.0,51.9300454,4.3864510526157305,1.7,2.1768637795477245e-05,0.09539842873176206,0.0003879171255154045,45937.64705882353,28923,1,3.0440756654428055e-05,0.07143909940827131,0.0006882066354724089,2.041897661087393e-05,0.043632581678239454,0.0003806281459146849
Schouwen-Duiveland,Zeeland,33789,229.65,147.0,30600.0,51.6874353,3.87663408803365,0.2,5.919086093107224e-06,0.0008708904855214457,0.001359318121282074,168945.0,28157,4,3.39586659765619e-05,0.01705138471271403,0.002350964697774102,2.7087480259710103e-05,0.01809930930053315,0.002074040538459369
Simpelveld,Limburg,10505,16.03,659.0,28000.0,50.83554960000001,5.9827262,2.4,0.00022846263683960017,0.14971927635683094,0.003662256068538791,4377.083333333334,3089,7,0.00010977323523697737,0.07603103977158712,0.004730246323375737,5.9698739733946024e-05,0.03789049401910738,0.0030897049645269518
Sint Anthonis,Noord-Brabant,11612,99.27,117.0,31900.0,51.626921,5.8816763,0.2,1.722356183258698e-05,0.002014707363755415,0.0017097829831209093,58060.0,9676,2,2.150591976542731e-05,0.009049930577187048,0.0018403203289503968,1.721622391496517e-05,0.00888637718596235,0.0015214627270522035
Sint-Michielsgestel,Noord-Brabant,28982,58.38,491.0,33000.0,51.6391001,5.3515392,2.6,8.971085501345664e-05,0.044535799931483384,0.005237319715685598,11146.923076923076,8050,7,0.00010977323523697737,0.07603103977158712,0.004730246323375737,5.9698739733946024e-05,0.03789049401910738,0.0030897049645269518
Sittard-Geleen,Limburg,92627,79.01,1177.0,27500.0,51.00940429999999,5.8376057867168,2.3,2.4830772884796007e-05,0.02911023921022655,0.0019618793656277327,40272.608695652176,28068,7,0.00010977323523697737,0.07603103977158712,0.004730246323375737,5.9698739733946024e-05,0.03789049401910738,0.0030897049645269518
Sliedrecht,Zuid-Holland,25018,12.84,1949.0,27900.0,51.8308564,4.769843031183671,1.1,4.3968342793188905e-05,0.08566978193146418,0.0005645535214645456,22743.63636363636,11913,1,3.0440756654428055e-05,0.07143909940827131,0.0006882066354724089,2.041897661087393e-05,0.043632581678239454,0.0003806281459146849
Sluis,Zeeland,23391,279.36,84.0,28400.0,51.3097693,3.3848220999999996,0.8,3.4201188491300076e-05,0.00286368843069874,0.00955444401692959,29238.75,12995,4,3.39586659765619e-05,0.01705138471271403,0.002350964697774102,2.7087480259710103e-05,0.01809930930053315,0.002074040538459369
Smallingerland,Friesland,55939,117.31,476.0,26500.0,53.11525265,6.050738915587701,0.9,1.6088954039221294e-05,0.007671980223339868,0.00188739519834105,62154.444444444445,29441,0,1.1382810388708286e-05,0.0037663469914448566,0.002251506319830709,9.507703010641844e-06,0.005431216973948226,0.0020741386639016608
Someren,Noord-Brabant,19321,80.27,238.0,30500.0,51.3858887,5.7133677,0.2,1.035143108534755e-05,0.0024915908807773765,0.0008309093732208478,96605.0,16100,2,2.150591976542731e-05,0.009049930577187048,0.0018403203289503968,1.721622391496517e-05,0.00888637718596235,0.0015214627270522035
Son en Breugel,Noord-Brabant,16911,25.95,646.0,34200.0,51.517812799999994,5.49143470757426,4.9,0.0002897522322748507,0.18882466281310215,0.007519070427532376,3451.224489795918,2866,3,0.0002630518942516105,0.16837823415237024,0.006811689234400736,6.809743530881317e-05,0.07247212850785036,0.0027467097958134594
Stadskanaal,Groningen (provincie),31801,117.64,274.0,25100.0,52.992561800000004,6.9624466,0.4,1.2578220810666332e-05,0.0034002040122407345,0.0014797018961667874,79502.5,22715,0,1.1382810388708286e-05,0.0037663469914448566,0.002251506319830709,9.507703010641844e-06,0.005431216973948226,0.0020741386639016608
Staphorst,Overijssel,17005,133.99,125.0,29500.0,52.6473009,6.2072973,0.8,4.7044986768597475e-05,0.005970594820508993,0.0063035577771243766,21256.25,9447,2,2.150591976542731e-05,0.009049930577187048,0.0018403203289503968,1.721622391496517e-05,0.00888637718596235,0.0015214627270522035
Stede Broec,Noord-Holland,21702,14.5,1494.0,28300.0,52.697291899999996,5.22599031191976,0.6,2.7647221454243847e-05,0.041379310344827586,0.0004008847110865358,36170.0,13563,1,3.0440756654428055e-05,0.07143909940827131,0.0006882066354724089,2.041897661087393e-05,0.043632581678239454,0.0003806281459146849
Steenwijkerland,Overijssel,43931,288.27,152.0,27700.0,52.7478796,6.023203149701179,0.4,9.105187680681069e-06,0.0013875880251153433,0.0026247524527099313,109827.5,31379,0,1.1382810388708286e-05,0.0037663469914448566,0.002251506319830709,9.507703010641844e-06,0.005431216973948226,0.0020741386639016608
Stichtse Vecht,Utrecht (provincie),64372,96.1,671.0,34300.0,52.20301145,4.99483765045446,0.3,4.660411358975952e-06,0.003121748178980229,0.000447865531597589,214573.33333333334,49516,4,3.39586659765619e-05,0.01705138471271403,0.002350964697774102,2.7087480259710103e-05,0.01809930930053315,0.002074040538459369
Súdwest-Fryslân,Friesland,89705,522.26,172.0,27500.0,52.97483265,5.4360738924679195,0.1,1.1147650632629174e-06,0.00019147551028223493,0.0005821972019396912,897050.0,81550,0,1.1382810388708286e-05,0.0037663469914448566,0.002251506319830709,9.507703010641844e-06,0.005431216973948226,0.0020741386639016608
Terneuzen,Zeeland,54579,250.38,217.0,27900.0,51.3254737,3.8403111000000005,0.5,9.161032631598233e-06,0.0019969646137870437,0.0022937393502995658,109158.0,36386,4,3.39586659765619e-05,0.01705138471271403,0.002350964697774102,2.7087480259710103e-05,0.01809930930053315,0.002074040538459369
Texel,Noord-Holland,13551,162.0,84.0,29500.0,53.0775961,4.90573113717644,0.2,1.4759058372075862e-05,0.0012345679012345679,0.0023909674562762897,67755.0,11292,4,3.39586659765619e-05,0.01705138471271403,0.002350964697774102,2.7087480259710103e-05,0.01809930930053315,0.002074040538459369
Teylingen,Zuid-Holland,37061,28.38,1289.0,34900.0,52.2174139,4.51138444863757,1.8,4.856857613124309e-05,0.06342494714587739,0.001378376190604679,20589.444444444445,13236,4,3.39586659765619e-05,0.01705138471271403,0.002350964697774102,2.7087480259710103e-05,0.01809930930053315,0.002074040538459369
Tholen,Zeeland,25794,146.71,174.0,28200.0,51.5354462,4.223281299999999,0.9,3.4891835310537335e-05,0.006134551155340467,0.0051189811584089326,28660.0,13575,4,3.39586659765619e-05,0.01705138471271403,0.002350964697774102,2.7087480259710103e-05,0.01809930930053315,0.002074040538459369
Tiel,Gelderland,41995,32.88,1261.0,27700.0,51.89242535,5.4304381741379295,0.3,7.143707584236218e-06,0.009124087591240875,0.00023488510536968688,139983.33333333334,32303,2,2.150591976542731e-05,0.009049930577187048,0.0018403203289503968,1.721622391496517e-05,0.00888637718596235,0.0015214627270522035
Tietjerksteradeel,Friesland,31764,148.86,214.0,28200.0,53.20512135,5.97344714650753,0.2,6.296436217101121e-06,0.0013435442697836894,0.000937287495277673,158820.0,26470,0,1.1382810388708286e-05,0.0037663469914448566,0.002251506319830709,9.507703010641844e-06,0.005431216973948226,0.0020741386639016608
Tilburg,Noord-Brabant,217342,116.17,1855.0,27000.0,51.57370915,5.0439311164372995,3.5,1.6103652308343532e-05,0.030128260308169064,0.001870761288660268,62097.71428571428,48298,7,0.00010977323523697737,0.07603103977158712,0.004730246323375737,5.9698739733946024e-05,0.03789049401910738,0.0030897049645269518
Tubbergen,Overijssel,21275,147.0,144.0,30600.0,52.408108399999996,6.781869400000001,0.6,2.8202115158636897e-05,0.004081632653061224,0.004145710928319624,35458.333333333336,13296,2,2.150591976542731e-05,0.009049930577187048,0.0018403203289503968,1.721622391496517e-05,0.00888637718596235,0.0015214627270522035
Twenterand,Overijssel,33785,106.17,319.0,27000.0,52.43930400000001,6.635427575044661,0.6,1.775936066301613e-05,0.005651313930488839,0.0018855113215924225,56308.333333333336,21115,2,2.150591976542731e-05,0.009049930577187048,0.0018403203289503968,1.721622391496517e-05,0.00888637718596235,0.0015214627270522035
Tynaarlo,Drenthe,33695,143.0,234.0,32200.000000000004,53.0790514,6.6199304,0.4,1.1871197507048524e-05,0.002797202797202797,0.001697581243507939,84237.5,24067,0,1.1382810388708286e-05,0.0037663469914448566,0.002251506319830709,9.507703010641844e-06,0.005431216973948226,0.0020741386639016608
Uden,Noord-Brabant,41770,67.0,623.0,29500.0,51.6590888,5.614860500000001,1.3,3.112281541776395e-05,0.019402985074626865,0.0020852286329901847,32130.76923076923,18160,2,2.150591976542731e-05,0.009049930577187048,0.0018403203289503968,1.721622391496517e-05,0.00888637718596235,0.0015214627270522035
Uitgeest,Noord-Holland,13536,19.16,705.0,32400.0,52.52329395,4.73746699027213,1.2,8.865248226950354e-05,0.06263048016701461,0.0016985815602836877,11280.0,6152,4,3.39586659765619e-05,0.01705138471271403,0.002350964697774102,2.7087480259710103e-05,0.01809930930053315,0.002074040538459369
Uithoorn,Noord-Holland,29450,18.14,1623.0,31400.0,52.24400285,4.828160506359509,1.2,4.0747028862478774e-05,0.0661521499448732,0.000739151103565365,24541.666666666668,13386,1,3.0440756654428055e-05,0.07143909940827131,0.0006882066354724089,2.041897661087393e-05,0.043632581678239454,0.0003806281459146849
Utrecht (gemeente),Utrecht (provincie),352795,93.83,3703.0,30000.0,52.0671066,5.0940706,5.0,1.417253645885004e-05,0.05328786102525845,0.0013298090959338992,70559.0,58799,5,7.839117564691203e-06,0.03719749425023043,0.0008868277607354155,5.007061033517467e-06,0.024206055537566294,0.0003112290722426245
Utrechtse Heuvelrug,Utrecht (provincie),49526,132.01,374.0,35800.0,52.02865365,5.394884282941399,0.4,8.076565844203045e-06,0.0030300734792818728,0.0010661874570932438,123815.0,35375,4,3.39586659765619e-05,0.01705138471271403,0.002350964697774102,2.7087480259710103e-05,0.01809930930053315,0.002074040538459369
Vaals,Limburg,10094,23.89,413.0,25700.0,50.7710157,6.019049,2.3,0.00022785813354467998,0.09627459187944745,0.005443530810382405,4388.695652173913,3058,7,0.00010977323523697737,0.07603103977158712,0.004730246323375737,5.9698739733946024e-05,0.03789049401910738,0.0030897049645269518
Valkenburg aan de Geul,Limburg,16475,36.73,447.0,28900.0,50.86094405,5.813710004178519,1.9,0.00011532625189681334,0.05172883201742445,0.004235933232169954,8671.052631578948,5681,7,0.00010977323523697737,0.07603103977158712,0.004730246323375737,5.9698739733946024e-05,0.03789049401910738,0.0030897049645269518
