,Province,Inhabitants,Land area,Inhabitants per square km,Average household income,Latitude,Longitude,Number of cinemas,Number of cinemas per inhabitant,Number of cinemas per square km,Number of cinemas per inhabitant times square km,Number of inhabitants per cinema,Number of potential customers for a new cinema,Label,Mean number of cinemas per inhabitant,Mean number of cinemas per square km,Mean number of cinemas per inhabitant times square km,Std number of cinemas per inhabitant,Std number of cinemas per square km,Std number of cinemas per inhabitant times square km
Brielle,Zuid-Holland,17184,27.55,619.0,32800.0,51.907478999999995,4.16708617673985,0.4,2.3277467411545626e-05,0.014519056261343014,0.000641294227188082,42960.0,12274,4,3.39586659765619e-05,0.01705138471271403,0.002350964697774102,2.7087480259710103e-05,0.01809930930053315,0.002074040538459369
Bronckhorst,Gelderland,36219,283.5,128.0,31000.0,52.0529087,6.269274781349419,0.4,1.1043927220519617e-05,0.0014109347442680777,0.003130953367017311,90547.5,25870,0,1.1382810388708286e-05,0.0037663469914448566,0.002251506319830709,9.507703010641844e-06,0.005431216973948226,0.0020741386639016608
Brummen,Gelderland,20672,83.65,248.0,30000.0,52.087327,6.1568633,0.4,1.934984520123839e-05,0.004781829049611476,0.0016186145510835915,51680.0,14765,2,2.150591976542731e-05,0.009049930577187048,0.0018403203289503968,1.721622391496517e-05,0.00888637718596235,0.0015214627270522035
Brunssum,Limburg,28121,17.25,1637.0,25700.0,50.94382155,5.97482508471928,2.4,8.534547135592618e-05,0.1391304347826087,0.0014722093808897266,11717.083333333334,8270,7,0.00010977323523697737,0.07603103977158712,0.004730246323375737,5.9698739733946024e-05,0.03789049401910738,0.0030897049645269518
Bunnik,Utrecht (provincie),15188,36.97,412.0,35200.0,52.066333799999995,5.1941182,5.0,0.0003292072688964972,0.1352447930754666,0.012170792731103502,3037.6,2531,3,0.0002630518942516105,0.16837823415237024,0.006811689234400736,6.809743530881317e-05,0.07247212850785036,0.0027467097958134594
Bunschoten,Utrecht (provincie),21588,30.38,700.0,30800.0,52.2391726,5.3735818,2.6,0.0001204372799703539,0.08558262014483213,0.0036588845654993516,8303.076923076922,5996,7,0.00010977323523697737,0.07603103977158712,0.004730246323375737,5.9698739733946024e-05,0.03789049401910738,0.0030897049645269518
Buren,Gelderland,26578,133.89,197.0,31900.0,51.91125529999999,5.3338217000000006,0.5,1.881255173451727e-05,0.0037344088430801407,0.002518812551734517,53156.0,17718,2,2.150591976542731e-05,0.009049930577187048,0.0018403203289503968,1.721622391496517e-05,0.00888637718596235,0.0015214627270522035
Capelle aan den IJssel,Zuid-Holland,66822,14.14,4728.0,28600.0,51.9358538,4.58946093551115,5.0,7.482565622100506e-05,0.3536067892503536,0.0010580347789650114,13364.4,11137,6,0.00011342668916943451,0.317186548625726,0.0014743329325001273,3.96718930066559e-05,0.1181329667066823,0.0005648140998616572
Castricum,Noord-Holland,35754,49.68,717.0,34400.0,52.55883055,4.639675526200151,0.8,2.2375118867818988e-05,0.016103059581320453,0.0011115959053532474,44692.5,19863,4,3.39586659765619e-05,0.01705138471271403,0.002350964697774102,2.7087480259710103e-05,0.01809930930053315,0.002074040538459369
Coevorden,Drenthe,35497,296.07,119.0,28300.0,52.65266925,6.7393188870097305,0.1,2.8171394765754853e-06,0.00033775796264396936,0.000834070484829704,354970.0,32269,0,1.1382810388708286e-05,0.0037663469914448566,0.002251506319830709,9.507703010641844e-06,0.005431216973948226,0.0020741386639016608
Cranendonck,Noord-Brabant,20436,76.4,266.0,30200.0,51.304050700000005,5.588774099999999,0.5,2.4466627520062635e-05,0.006544502617801046,0.0018692503425327854,40872.0,13624,2,2.150591976542731e-05,0.009049930577187048,0.0018403203289503968,1.721622391496517e-05,0.00888637718596235,0.0015214627270522035
Cuijk,Noord-Brabant,24931,51.16,487.0,28700.0,51.729939,5.8800457999999995,1.2,4.813284665677269e-05,0.023455824863174355,0.0024624764349604907,20775.833333333336,11332,2,2.150591976542731e-05,0.009049930577187048,0.0018403203289503968,1.721622391496517e-05,0.00888637718596235,0.0015214627270522035
Culemborg,Gelderland,28544,29.29,963.0,30100.0,51.94933145,5.20921518362178,0.5,1.7516816143497758e-05,0.01707067258449983,0.0005130675448430493,57088.0,19029,2,2.150591976542731e-05,0.009049930577187048,0.0018403203289503968,1.721622391496517e-05,0.00888637718596235,0.0015214627270522035
Dalfsen,Overijssel,28487,165.07,171.0,30400.0,52.5111721,6.253911,0.1,3.5103731526661286e-06,0.0006058035984733749,0.0005794572963105978,284870.0,25897,2,2.150591976542731e-05,0.009049930577187048,0.0018403203289503968,1.721622391496517e-05,0.00888637718596235,0.0015214627270522035
De Bilt,Utrecht (provincie),42809,66.12,648.0,35900.0,52.1038467,5.19093085070224,5.0,0.00011679786960685836,0.07562008469449485,0.0077226751384054755,8561.8,7134,7,0.00010977323523697737,0.07603103977158712,0.004730246323375737,5.9698739733946024e-05,0.03789049401910738,0.0030897049645269518
De Friese Meren,Friesland,51442,351.29,147.0,28700.0,52.9597686,5.9320827000000005,0.3,5.831810582792271e-06,0.0008539952745594807,0.002048656739629097,171473.33333333334,39570,0,1.1382810388708286e-05,0.0037663469914448566,0.002251506319830709,9.507703010641844e-06,0.005431216973948226,0.0020741386639016608
De Ronde Venen,Utrecht (provincie),44064,99.92,437.0,35800.0,52.23257135,4.92032224585349,2.7,6.127450980392157e-05,0.02702161729383507,0.006122549019607843,16319.999999999998,11909,4,3.39586659765619e-05,0.01705138471271403,0.002350964697774102,2.7087480259710103e-05,0.01809930930053315,0.002074040538459369
De Wolden,Drenthe,24116,224.55,107.0,30300.0,52.70557745,6.33895417395422,0.9,3.7319621827832145e-05,0.004008016032064128,0.008380121081439708,26795.555555555555,12692,0,1.1382810388708286e-05,0.0037663469914448566,0.002251506319830709,9.507703010641844e-06,0.005431216973948226,0.0020741386639016608
